username,course_id,interaction_strength,ts_ms,user_idx,item_idx
477,course-v1:TsinghuaX+40670453X+2016_TS,1.8245492920510458,1970-08-26 23:32:24.444,3,190
477,TsinghuaX/60250131X/2015_03_02,2.639057329615259,1971-02-22 11:58:45.758,3,20
675,course-v1:TsinghuaX+30640014X+2016_T1,0.33647223662121295,1970-03-09 10:01:31.278,5,173
675,TsinghuaX/01030132X_2015X/2015_T2,1.791759469228055,1970-04-27 10:55:14.304,5,8
675,course-v1:TsinghuaX+00510663X+2015_T2,2.379546134130174,1971-09-11 23:41:52.935,5,77
797,course-v1:TsinghuaX+10620204X+2016_T2,2.91235066461494,1973-11-19 07:43:50.304,6,142
797,course-v1:TsinghuaX+10610204X_2015_2+2015_T2,4.257030144499196,1975-10-24 15:50:23.688,6,136
853,TsinghuaX/AP000004X/2015_T2,0.6931471805599453,1970-01-17 17:28:21.140,7,28
853,TsinghuaX/80511503X/2015_T2,0.6931471805599453,1970-01-17 17:28:21.156,7,23
853,course-v1:ustcX+LB05203a+2015_T2,0.33647223662121295,1970-02-03 10:56:42.236,7,245
853,course-v1:TsinghuaX+00510663X+2015_T2,0.5877866649021191,1970-03-08 21:53:25.909,7,77
853,course-v1:TsinghuaX+00690092X_2015_T2+2015_T2,0.5877866649021191,1970-03-08 21:53:26.153,7,97
853,course-v1:TsinghuaX+60240013X+2015_T2,1.0296194171811583,1970-03-25 15:21:47.764,7,191
903,course-v1:TsinghuaX+30640014X+2016_T1,1.7227665977411035,1970-10-31 20:24:59.156,8,173
903,course-v1:TsinghuaX+30640014+2016_T2,1.8870696490323797,1970-11-20 00:46:48.652,8,172
1069,course-v1:TsinghuaX+30240184+2015_T2,0.18232155679395462,1970-01-17 16:40:18.857,11,165
1069,course-v1:MicrosoftX+Microsoft101+_,2.174751721484161,1970-11-14 23:01:47.169,11,57
1069,course-v1:TsinghuaX+20220214X_2015_2+2015_T2,2.128231705849268,1971-01-03 06:47:36.015,11,149
1069,course-v1:TsinghuaX+00690092X+2017_T1,2.0149030205422647,1971-04-28 09:05:03.660,11,96
1069,course-v1:TsinghuaX+90640012X+2016_T1,3.0252910757955354,1972-06-19 07:00:19.160,11,217
1074,course-v1:TsinghuaX+00740043_2x_2015_T2+2015_T2,1.5260563034950494,1970-09-08 20:30:39.457,12,116
1074,course-v1:TsinghuaX+00740043X_2015_T2+2015_T2,2.517696472610991,1971-11-17 11:40:32.603,12,113
1123,course-v1:TsinghuaX+30640014+2016_T2,1.0296194171811583,1970-04-12 22:41:05.340,13,172
1123,course-v1:UC_BerkeleyX+ColWri2_1x_2015_T1+2016_TS,1.2237754316221157,1970-04-29 22:28:17.976,13,240
1317,course-v1:TsinghuaX+00510663X+2016_T2,0.8754687373538999,1970-03-10 05:33:15.816,15,79
1317,course-v1:TsinghuaX+80512073X+2016--T2,0.8754687373538999,1970-03-10 05:33:16.010,15,210
1343,course-v1:MicrosoftX+Microsoft101+_,1.0986122886681096,1970-04-11 10:21:52.701,16,57
1343,TsinghuaX/AP000005X/2015_T2,1.791759469228055,1970-04-28 04:05:32.795,16,29
